msa_name,year,msa_no,normusaspminpop,normusasminorestab,MinorityUsasp,normusaswompop,normusaswomestab,WomanUsasp,normawardestab,normawardpop,AwardAmount,normsampop1000,normsamestab,ann_sam_registrations,normwompop1000,normwomestab,Woman,normminorpop1000,normminorest,Minority,normcdfipop10000,normcdfiestab10000,cumulativecdfi,normmdipop10000,normmdiestab10000,UnemploymentRate,UnemploymentPerCapita,AvgAverageWeeklyWage,EstablishmentCount,AvgPopulation
"Elmira, NY MSA",2020,21300,181,7917,209514,0,0,0,7917,181,209514,9,0,11,41,2,48,41,2,48,,,,,,35,0,984,7622,83461
"Elmira, NY MSA",2021,21300,0,0,0,0,0,0,5022,151,174595,6,0,7,21,1,24,21,1,24,,,,,,22,0,1037,5632,83461
"Erie, PA MSA",2019,21500,0,0,0,0,0,0,218057,5588,7535656,28,1,38,80,3,108,48,2,65,0,0,1,,,19,0,835,27647,269722
"Erie, PA MSA",2020,21500,0,0,0,0,0,0,245673,6217,8384091,42,2,56,70,3,94,47,2,63,0,0,1,,,39,1,904,27302,269722
"Erie, PA MSA",2021,21500,0,0,0,0,0,0,327,11,14870,18,1,24,27,1,37,22,1,30,,,,,,29,0,890,20472,269722
"Eugene-Springfield, OR MSA",2019,21660,521,15690,1277553,120,3629,295518,360164,11953,29325716,48,1,118,132,4,323,69,2,170,0,0,2,,,16,0,869,50813,382732
"Eugene-Springfield, OR MSA",2020,21660,63404,1868985,155555920,203,5994,498849,2262329,76748,188294005,60,2,147,157,5,386,71,2,175,0,0,2,,,32,0,953,51946,382732
"Eugene-Springfield, OR MSA",2021,21660,9248,197810,22689326,123,2625,301136,294482,13768,33777912,26,1,64,77,2,188,29,1,71,,,,,,21,0,975,40262,382732
"Evansville, IN-KY MSA",2019,21780,0,0,0,0,0,0,188616,4566,4600372,48,2,48,113,5,114,84,3,85,,,,,,12,0,913,30439,314321
"Evansville, IN-KY MSA",2020,21780,0,0,0,0,0,0,106996,2649,2668375,61,2,61,149,6,150,71,3,72,,,,,,26,0,956,31124,314321
"Evansville, IN-KY MSA",2021,21780,0,0,0,0,0,0,3189,107,107750,34,1,34,85,3,86,36,1,36,,,,,,15,0,959,23718,314321
FL NONMETROPOLITAN AREA,2019,99009,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
FL NONMETROPOLITAN AREA,2020,99009,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
FL NONMETROPOLITAN AREA,2021,99009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fairbanks, AK MSA",2019,21820,559207,23629528,838017763,125,5297,187870,23825909,563854,844982365,58,2,87,152,6,228,146,6,219,,,,,,19,0,1049,9080,95909
"Fairbanks, AK MSA",2020,21820,110638,4677466,165800210,140,5904,209285,5227403,123646,185293615,75,3,112,137,6,206,143,6,215,,,,,,25,0,1115,9075,95909
